X,Y,FID,Rotation,Direction,Volume,Label,Year,Neighbourh
-13734347.4463621,6177403.18599591,306,323.991635877,Left,2720,2720(92),1992,James Bay
-13734237.9322687,6177284.68296907,307,323.149284974,Right,2070,2070(92),1992,James Bay
-13734344.2856459,6177272.0122454,308,322.6525944784,Both,620,620(87),1987,James Bay
-13734382.6716101,6177125.48403553,309,323.991635877,Left,1274,1274(14),2014,James Bay
-13734304.1099489,6176985.60973687,310,323.149284974,Right,1833,1833(14),2014,James Bay
-13731754.7813254,6175102.30531558,311,79.902880251,Both,530,530(81),1981,Fairfield
-13731396.5686878,6174781.57535844,312,79.902880251,Both,890,890(81),1981,Fairfield
-13731974.0911724,6175012.90133492,313,339.3043637931,Left,3180,3180(90),1990,Fairfield
-13731863.5260483,6174884.63026429,314,339.5329243913,Right,3460,3460(90),1990,Fairfield
-13734453.3594062,6178588.88259451,315,321.5657326883,Left,7460,7460(85),1985,Victoria West
-13734379.0335521,6178440.14694125,316,322.9626850573,Right,7940,7940(85),1985,Victoria West
-13734762.171183,6178725.23125973,317,0.5118299007,Right,3201,3201(15),2015,Victoria West
-13734933.9410685,6178795.17621294,318,0.2681741757,Left,6412,6412(15),2015,Victoria West
-13735291.8820925,6178508.04107454,319,90.2961506257,Left,1010,1010(90),1990,Victoria West
-13735230.2011652,6178651.3337725,320,90.819613654,Right,940,940(90),1990,Victoria West
-13735364.874422,6178643.84062771,321,90.819613654,Right,622,622(90),1990,Victoria West
-13735429.2543856,6178505.89423589,322,90.2961506257,Left,330,330(90),1990,Victoria West
-13734947.3900632,6179008.5449644,323,49.8023171954,Right,3440,3440(92),1992,Victoria West
-13735108.9976067,6178923.16215592,324,49.8806642866,Left,3600,3600(92),1992,Victoria West
-13734590.805344,6179108.18534434,325,297.2324628001,Right,3840,3840(90),1990,Victoria West
-13734598.0455145,6179285.8496254,326,294.5529520872,Left,4050,4050(90),1990,Victoria West
-13734861.3271229,6179456.75683784,327,306.4034480467,Right,7580,7580(90),1990,Victoria West
-13734893.3684654,6179632.35810064,328,300.8265336273,Left,6590,6590(90),1990,Victoria West
-13735428.2389024,6179665.27396106,329,359.6696579245,Left,6960,6960(92),1992,Victoria West
-13735299.6276882,6179604.21417969,330,359.3536750919,Right,9900,9900(92),1992,Victoria West
-13735231.720054,6179509.71067923,331,359.3782851105,Left,480,480(93),1993,Victoria West
-13735420.8013623,6179509.96764841,332,359.6696579245,Left,486,486(07),2007,Victoria West
-13735272.8283897,6179446.51330659,333,359.3536750919,Right,327,327(07),2007,Victoria West
-13735130.7183315,6179445.27652659,334,359.1628232421,Right,660,660(93),1993,Victoria West
-13736064.7544447,6180056.31997692,335,80.6621738948,Both,1530,1530(92),1992,Victoria West
-13734744.3583808,6181579.25054536,336,64.0058092847,Right,730,730(93),1993,Burnside
-13734860.419635,6181493.48811453,337,63.3498178115,Left,300,300(93),1993,Burnside
-13735302.931807,6181726.24224516,338,54.744997001,Left,3290,3290(91),1991,Burnside
-13735163.480172,6181824.94431642,339,54.4527603645,Right,3550,3550(91),1991,Burnside
-13734219.4634026,6180751.02047885,340,54.0532382931,Left,5480,5480(93),1993,Burnside
-13734070.3856752,6180844.66044837,341,54.5620399512,Right,5370,5370(93),1993,Burnside
-13734128.7612982,6180671.48231887,342,330.3970083194,Left,8430,8430(93),1993,Burnside
-13734092.392523,6180576.20864138,343,330.4781946973,Right,8760,8760(93),1993,Burnside
-13733569.1390734,6180526.47604217,344,10.4659435626,Both,1260,1260(81),1981,Burnside
-13733698.0318802,6180423.14601454,345,329.8685884964,Left,9200,9200(14),2014,Burnside
-13733592.4049091,6180289.29565592,346,329.7354809965,Right,7129,7129(14),2014,Burnside
-13733781.7916977,6181017.29914542,347,323.8014293721,Left,5310,5310(93),1993,Burnside
-13733696.9407685,6180874.76665231,348,324.2683830122,Right,5500,5500(93),1993,Burnside
-13733970.784289,6181074.97737937,349,324.2683830122,Right,9010,9010(85),1985,Burnside
-13734002.7243856,6181174.82699416,350,323.8014293721,Left,7920,7920(85),1985,Burnside
-13733821.0808815,6181150.49143913,351,21.9348826355,Left,6580,6580(89),1989,Burnside
-13733640.7593124,6181140.47456321,352,22.1025625905,Right,6400,6400(89),1989,Burnside
-13733475.7254561,6181092.71230039,353,290.7333021056,Left,21530,21530(90),1990,Burnside
-13733498.2918453,6180918.89276947,354,291.7031265984,Right,22980,22980(90),1990,Burnside
-13733527.7780758,6181264.54377111,355,10.3016811052,Left,8580,8580(92),1992,Burnside
-13733383.855066,6181212.13776618,356,9.6769089816,Right,10920,10920(92),1992,Burnside
-13733414.2476535,6181699.90519845,357,10.616379455,Right,3700,3700(82),1982,Burnside
-13733583.8739613,6181722.85753225,358,8.7826707658,Left,2370,2370(82),1982,Burnside
-13733182.0674701,6181686.96163919,359,289.3464749441,Left,17500,17500(89),1989,Hillside/Quadra
-13733217.9249561,6181489.48941648,360,291.8744387087,Right,17980,17980(89),1989,Burnside
-13732991.9862918,6181823.03003958,361,9.6346068442,Left,2360,2360(90),1990,Hillside/Quadra
-13732828.5924575,6181802.20965871,362,10.267845864,Right,2080,2080(90),1990,Hillside/Quadra
-13733032.1529583,6181354.33437952,363,10.4008023973,Left,7150,7150(92),1992,Hillside/Quadra
-13732845.2097574,6181314.68622062,364,17.3814350622,Right,7930,7930(92),1992,Hillside/Quadra
-13732519.7932124,6181716.56988487,365,279.8865433136,Left,7520,7520(82),1982,Hillside/Quadra
-13732556.8479594,6181548.65994695,366,281.5220040393,Right,7170,7170(82),1982,Hillside/Quadra
-13732356.3860225,6181682.4847075,367,279.0969394545,Both,250,250(07),2007,Hillside/Quadra
-13732150.0955869,6181526.69425411,368,10.2589833082,Left,6890,6890(92),1992,Hillside/Quadra
-13731987.6080272,6181486.84195398,369,10.5214664873,Right,6840,6840(92),1992,Hillside/Quadra
-13732258.9395427,6181166.659884,370,279.8449821417,Both,260,260(89),1989,Hillside/Quadra
-13732330.8387723,6180763.1341236,371,11.0343006456,Both,1250,1250(91),1991,Hillside/Quadra
-13732771.669901,6180611.56737422,372,280.5384946603,Left,14740,14740(93),1993,Hillside/Quadra
-13732834.8345534,6180426.55329425,373,281.108492593,Right,23870,23870(93),1993,Burnside
-13732934.0401135,6180113.12163682,374,19.9372442989,Right,12010,12010(93),1993,Burnside
-13733093.7214424,6180129.9927088,375,20.6832941399,Left,9390,9390(93),1993,Burnside
-13732720.0155952,6179832.99808378,376,281.8971122716,Right,23233,23233(10),2010,Burnside
-13732665.8911857,6180039.70730874,377,279.806956707,Left,19222,19222(10),2010,Hillside/Quadra
-13733068.4287748,6180008.231796,378,289.6931874329,Left,18910,18910(89),1989,Burnside
-13733083.2642024,6179805.4727716,379,289.2623590827,Right,12600,12600(89),1989,Burnside
-13733227.6410914,6179725.43806357,380,271.4704065738,Right,7870,7870(89),1989,Burnside
-13733411.8851943,6179700.93922902,381,288.9371114672,Right,1820,1820(91),1991,Burnside
-13733003.4366357,6179611.31758892,382,355.132510795,Right,9710,9710(90),1990,Burnside
-13733249.2467457,6179636.04985037,383,354.2938547962,Right,9990,9990(93),1993,Burnside
-13733461.2308048,6179805.4902173,384,16.333071853,Right,1090,1090(91),1991,Burnside
-13733174.7402048,6179702.36039649,385,354.5639374769,Left,7280,7280(90),1990,Burnside
-13733340.4680781,6179714.71898887,386,354.2418468237,Left,6590,6590(93),1993,Burnside
-13733148.2634138,6179879.4762844,387,271.4159925331,Left,8420,8420(89),1989,Burnside
-13733397.1547506,6179860.66598692,388,285.6788286724,Left,1840,1840(91),1991,Burnside
-13733615.837096,6179829.53452004,389,15.8616339065,Left,1090,1090(91),1991,Burnside
-13732873.4612858,6179677.24411344,390,356.2308686362,Left,10570,10570(89),1989,Burnside
-13732705.4824333,6179588.2134225,391,352.481812911,Right,9400,9400(89),1989,Burnside
-13732627.7390656,6178900.20498697,392,90.925285589,Left,21220,21220(93),1993,Burnside
-13732502.1613145,6179047.00895243,393,85.0035310639,Right,16060,16060(93),1993,North Park
-13732844.8847744,6179158.26102682,394,91.7201387144,Right,16630,16630(81),1981,Burnside
-13732925.9544581,6178983.33523872,395,91.3234888253,Left,12910,12910(81),1981,Downtown
-13733214.1292644,6179145.1560342,396,91.3234888253,Left,8070,8070(89),1989,Burnside
-13733144.9600099,6179316.46630261,397,91.7201387144,Right,10140,10140(89),1989,Burnside
-13733323.1388741,6178898.3618808,398,0.6162669981,Both,4110,4110(81),1981,Burnside
